#version,serial,flight,call,time,state,state_name,acceleration,pressure,altitude,height,accel_speed,baro_speed,temperature,drogue_voltage,main_voltage,battery_voltage,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6, 1372, 3, KJ7SAT,    -0.19, 3,   boost,   24.52,  86055.00, 1356.56,    0.67,    2.32,    2.32, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,    -0.18, 3,   boost,   24.52,  86028.00, 1359.13,    3.23,    2.56,    2.56, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,    -0.17, 3,   boost,   25.06,  86084.00, 1353.80,   -2.09,    2.81,    2.81, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,    -0.16, 3,   boost,   25.06,  86043.00, 1357.70,    1.81,    3.06,    3.06, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,    -0.15, 3,   boost,   26.15,  86049.00, 1357.13,    1.24,    3.32,    3.32, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,    -0.14, 3,   boost,   26.70,  86044.00, 1357.60,    1.71,    3.59,    3.59, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,    -0.13, 3,   boost,   27.24,  86041.00, 1357.89,    2.00,    3.86,    3.86, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,    -0.12, 3,   boost,   28.33,  86055.00, 1356.56,    0.67,    4.14,    4.14, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,    -0.11, 3,   boost,   29.42,  86063.00, 1355.80,   -0.10,    4.44,    4.44, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,    -0.10, 3,   boost,   31.05,  86038.00, 1358.17,    2.28,    4.75,    4.75, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
